국가,구분,일자,요일,신규확진(명),누적확진(명),인구확진률(%),인구(명),신규사망(명),누적사망(명),사망률(%)
대한민국,일간,2023/02/06,월,16120,30279381,58.47,51784059,10,33624,0.11
대한민국,일간,2023/02/05,일,5850,30263261,58.44,51784059,18,33614,0.11
대한민국,일간,2023/02/04,토,14018,30257411,58.43,51784059,22,33596,0.11
대한민국,일간,2023/02/03,금,14504,30243393,58.40,51784059,22,33574,0.11
대한민국,일간,2023/02/02,목,14961,30228889,58.37,51784059,30,33552,0.11
대한민국,일간,2023/02/01,수,16862,30213928,58.35,51784059,36,33522,0.11
대한민국,일간,2023/01/31,화,20420,30197066,58.31,51784059,42,33486,0.11
대한민국,일간,2023/01/30,월,19629,30176646,58.27,51784059,24,33444,0.11
대한민국,일간,2023/01/29,일,7416,30157017,58.24,51784059,30,33420,0.11
대한민국,일간,2023/01/28,토,18871,30149601,58.22,51784059,29,33390,0.11
대한민국,일간,2023/01/27,금,23367,30130730,58.19,51784059,29,33361,0.11
대한민국,일간,2023/01/26,목,31711,30107363,58.14,51784059,36,33332,0.11
대한민국,일간,2023/01/25,수,35096,30075652,58.08,51784059,26,33296,0.11
대한민국,일간,2023/01/24,화,19538,30040556,58.01,51784059,25,33270,0.11
대한민국,일간,2023/01/23,월,12262,30021018,57.97,51784059,10,33245,0.11
대한민국,일간,2023/01/22,일,9227,30008756,57.95,51784059,26,33235,0.11
대한민국,일간,2023/01/21,토,16624,29999529,57.93,51784059,24,33209,0.11
대한민국,일간,2023/01/20,금,27539,29982905,57.90,51784059,51,33185,0.11
대한민국,일간,2023/01/19,목,27408,29955366,57.85,51784059,30,33134,0.11
대한민국,일간,2023/01/18,수,29816,29927958,57.79,51784059,47,33104,0.11
대한민국,일간,2023/01/17,화,36908,29898142,57.74,51784059,43,33057,0.11
대한민국,일간,2023/01/16,월,40199,29861234,57.66,51784059,30,33014,0.11
대한민국,일간,2023/01/15,일,14144,29821035,57.59,51784059,35,32984,0.11
대한민국,일간,2023/01/14,토,32570,29806891,57.56,51784059,37,32949,0.11
대한민국,일간,2023/01/13,금,36552,29774321,57.50,51784059,45,32912,0.11
대한민국,일간,2023/01/12,목,39726,29737769,57.43,51784059,46,32867,0.11
대한민국,일간,2023/01/11,수,43953,29698043,57.35,51784059,76,32821,0.11
대한민국,일간,2023/01/10,화,54343,29654090,57.26,51784059,76,32745,0.11
대한민국,일간,2023/01/09,월,60041,29599747,57.16,51784059,44,32669,0.11
대한민국,일간,2023/01/08,일,19106,29539706,57.04,51784059,35,32625,0.11
대한민국,일간,2023/01/07,토,46766,29520600,57.01,51784059,34,32590,0.11
대한민국,일간,2023/01/06,금,53608,29473834,56.92,51784059,60,32556,0.11
대한민국,일간,2023/01/05,목,56954,29420226,56.81,51784059,75,32496,0.11
대한민국,일간,2023/01/04,수,64106,29363272,56.70,51784059,66,32421,0.11
대한민국,일간,2023/01/03,화,78575,29299166,56.58,51784059,54,32355,0.11
대한민국,일간,2023/01/02,월,81056,29220591,56.43,51784059,29,32301,0.11
대한민국,일간,2023/01/01,일,22735,29139535,56.27,51784059,53,32272,0.11
대한민국,일간,2022/12/31,토,57527,29116800,56.19,51815810,63,32219,0.11
대한민국,일간,2022/12/30,금,62926,29059273,56.08,51815810,61,32156,0.11
대한민국,일간,2022/12/29,목,65207,28996347,55.96,51815810,68,32095,0.11
대한민국,일간,2022/12/28,수,71427,28931140,55.83,51815810,76,32027,0.11
대한민국,일간,2022/12/27,화,87517,28859713,55.70,51815810,69,31951,0.11
대한민국,일간,2022/12/26,월,87596,28772196,55.53,51815810,50,31882,0.11
대한민국,일간,2022/12/25,일,25545,28684600,55.36,51815810,42,31832,0.11
대한민국,일간,2022/12/24,토,58448,28659055,55.31,51815810,46,31790,0.11
대한민국,일간,2022/12/23,금,66049,28600607,55.20,51815810,70,31744,0.11
